T,D,P
表現,표현,ひょうげん,
正当,정당,せいとう,
現状,현상,げんじょう,
分類,분류,ぶんるい,
発達,발달,はったつ,
本質,본질,ほんしつ,
明確,명확,めいかく,
用語,용어,ようご,
評論,평론,ひょうろん,
読解,독해,どっかい,
質問,질문,しつもん,
推測,추측,すいそく,
成果,성과,せいか,
対話,대화,たいわ,
実践,실천,じっせん,
補完,보완,ほかん,
構文,구문,こうぶん,
蓄積,축적,ちくせき,
感情,감정,かんじょう,
練習,연습,れんしゅう,
推測,추측,すいそく,
提案,제안,ていあん,
予定,예정,よてい,
可能,가능,かのう,
中間,중간,ちゅうかん,
知識,지식,ちしき,
施策,시책,しさく,
状態,상태,じょうたい,
訓練,훈련,くんれん,
話題,화제,わだい,
文体,문체,ぶんたい,
解決,해결,かいけつ,
語順,어순,ごじゅん,
中盤,중반,ちゅうばん,
機能,기능,きのう,
成立,성립,せいりつ,
抽象,추상,ちゅうしょう,
上限,상한,じょうげん,
読者,독자,どくしゃ,
説明,설명,せつめい,
意欲,의욕,いよく,
準備,준비,じゅんび,
受容,수용,じゅよう,
概念,개념,がいねん,
