
女性,じょせい,여성
摂取,せっしゅ,섭취
大丈夫,だいじょうぶ,괜찮아
価格,かかく,가격
恋愛,れんあい,연애
大学生,だいがくせい,대학생
財産,ざいさん,재산
美味,びみ,미식
表現,ひょうげん,표현
姿勢,しせい,자세
考慮,こうりょ,고려
最初,さいしょ,최초
親切,しんせつ,친절
毎日一生懸命運動,まいにちいっしょうけんめいうんどう,매일 열심히 운동
動画,どうが,동영상
事前,じぜん,사전
一生懸命服用,いっしょうけんめいふくよう,열심히 복용
講師,こうし,강사
想像,そうぞう,상상
分野,ぶんや,분야
翻訳機,ほんやくき,번역기
病気,びょうき,병
実感,じっかん,실감
悪口,わるぐち,욕
基準,きじゅん,기준
週間,しゅうかん,주간
雰囲気,ふんいき,분위기
余波,よは,여파
格差,かくさ,격차
無難,ぶなん,무난
兵士,へいし,병사
突然本当,とつぜんほんとう,갑자기 진짜
翻訳,ほんやく,번역
適応,てきおう,적응
無意味,むいみ,무의미
地域,ちいき,지역
電気,でんき,전기
準備,じゅんび,준비
一度全部送,いちどぜんぶおく,한번에 전부 보내기
相手,あいて,상대
一生懸命運動,いっしょうけんめいうんどう,열심히 운동
一人,ひとり,혼자
後悔,こうかい,후회
発音,はつおん,발음
写真,しゃしん,사진
過剰,かじょう,과잉
世界,せかい,세계
一度言,いちどい,한번 말하기
漢字,かんじ,한자
日本人,にほんじん,일본인
不安定,ふあんてい,불안정
外見,がいけん,외모
無礼,ぶれい,무례
先生,せんせい,선생님
途中,とちゅう,도중
説明,せつめい,설명
構成,こうせい,구성
宿題,しゅくだい,숙제
高校生,こうこうせい,고등학생
軍関連,ぐんかんれん,군 관련
突然,とつぜん,갑자기
韓国語,かんこくご,한국어
関係,かんけい,관계
確実,かくじつ,확실
韓国,かんこく,한국
家族,かぞく,가족
危険,きけん,위험
手続,てつづき,절차
予定,よてい,예정
特異,とくい,특이
政情,せいじょう,정세
頑張,がんば,노력
筋肉,きんにく,근육
言葉,ことば,단어
負担,ふたん,부담
勉強,べんきょう,공부
簡単,かんたん,간단
회사員,かいしゃいん,회사원
広告,こうこく,광고
爽快,そうかい,상쾌
報酬,ほうしゅう,보상
生活様式,せいかつようしき,생활양식
資料,しりょう,자료
興味,きょうみ,흥미
短期間,たんきかん,단기간
疲労感,ひろうかん,피로감
今日,きょう,오늘
小学生,しょうがくせい,초등학생
一週間,いっしゅうかん,일주일
時点,じてん,시점
孤独,こどく,고독
実家,じっか,본가
小説家,しょうせつか,소설가
自炊部屋,じすいへや,자취방
日本,にほん,일본
出会,であい,만남
小説,しょうせつ,소설
毎日白,まいにちしろ,매일 흰밥
今書,いまかき,지금 쓰기
保持,ほじ,보유
必要,ひつよう,필요
自制,じせい,자제
方向,ほうこう,방향
敬語,けいご,존댓말
問題,もんだい,문제
목적,もくてき,목적
普通,ふつう,보통
気分,きぶん,기분
東京,とうきょう,도쿄
背景,はいけい,배경
鶏肉,とりにく,닭고기
一生懸命,いっしょうけんめい,열심히
突然解,とつぜんかい,갑자기 해결
副作用,ふくさよう,부작용
充電,じゅうでん,충전
炭水化物,たんすいかぶつ,탄수화물
意味,いみ,의미
金曜日,きんようび,금요일
解決,かいけつ,해결
会話,かいわ,대화
快適,かいてき,편안
失礼,しつれい,무례
疑問,ぎもん,의문
約束,やくそく,약속
希望,きぼう,희망
理解,りかい,이해
全文,ぜんぶん,전문
途切,とぎれ,중단
就寝,しゅうしん,취침
現実,げんじつ,현실
本当,ほんとう,진짜
苦労,くろう,고생
混乱,こんらん,혼란
書類上,しょるいじょう,서류상
日常的,にちじょうてき,일상적
実際,じっさい,실제
部分,ぶぶん,부분
留学,りゅうがく,유학
手首,てくび,손목
内容,ないよう,내용
結論,けつろん,결론
素敵,すてき,멋진
睡眠,すいみん,수면
間違,まちが,오류
気持,きもち,기분
今考,いまかん가え,지금 생각
指摘,してき,지적
醤油,しょうゆ,간장
恋人,こいびと,연인
感謝,かんしゃ,감사
偉大,いだい,위대
実力,じつりょく,실력
苦痛,くつう,고통
半年,はんとし,반년
今持,いまもち,지금 소유
穀物,こくもつ,곡물
大家族,だいかぞく,대가족
混同,こんどう,혼동
練習,れんしゅう,연습
所有,しょゆう,소유
比較,ひかく,비교
健康,けんこう,건강
直接書,ちょくせつかき,직접 쓰기
否定,ひてい,부정
単純,たんじゅん,단순
悲劇,ひげき,비극
否定的,ひていてき,부정적
名門施設,めいもんしせつ,명문 시설
期間,きかん,기간
国外,こくがい,국외
不思議,ふしぎ,불가사의
集中,しゅうちゅう,집중
成長,せいちょう,성장
感情,かんじょう,감정
全体,ぜんたい,전체
食文化,しょくぶんか,식문화
緊張,きんちょう,긴장
国旗,こっき,국기
正常,せいじょう,정상
正直,しょうじき,정직
比較文化,ひかくぶんか,비교문화
一生懸命生,いっしょうけんめいなま,열심히 삶
文章,ぶんしょう,문장
結末,けつまつ,결말
過程,かてい,과정
今日私,きょうわたし,오늘 나
暴力的,ぼうりょくてき,폭력적
会社,かいしゃ,회사
仕事,しごと,일
魅力的,みりょくてき,매력적
方法,ほうほう,방법
見出,みいだ,찾다
最善,さいぜん,최선
出国,しゅっこく,출국
一緒,いっしょ,함께
将来,しょうらい,장래
雰囲気自体,ふんいきじたい,분위기 자체
直接読,ちょくせつよ,직접 읽기
清純,せいじゅん,청순
心配,しんぱい,걱정
余裕,よゆう,여유
誠意,せいい,성의
担当,たんとう,담당
覚悟,かくご,각오
突然罪悪感,とつぜんざいあくかん,갑자기 죄책감
残念,ざんねん,아쉬움
単語,たんご,단어
批判,ひはん,비판
技能,ぎのう,기능
最後,さいご,마지막
大変,たいへん,매우
素晴,すば,훌륭
両方,りょうほう,양쪽
理性的,りせいてき,이성적
全部聞,ぜんぶき,전부 듣기
文化,ぶんか,문화
休暇,きゅうか,휴가
意訳,いやく,의역
人生,じんせい,인생
修正,しゅうせい,수정
個人的,こじんてき,개인적
携帯電話,けいたいでんわ,휴대전화
軍隊,ぐんたい,군대
