T,D,P
整,정리하다,せい/ととのう·ととのえる
追,쫓다,つい/おう
得,얻다,とく/える·うる
今,지금,こん·きん/いま
夫,남편,ふ·ふう/おっと
築,쌓다,ちく/きずく
人,사람,じん·にん/ひと
快,기쁘다,かい/こころよい
苦,괴롭다,く/くるしい·くるしむ·くるしめる·にがい·にがる
金,"돈, 금",きん·こん/かな·かね
必,반드시,ひつ/かならず
足,발,そく/あし·たす·たりる·たる
不,아니다,ふ·ぶ
穴,구멍,けつ/あな
散,흩어지다,さん/ちらかす·ちらかる·ちらす·ちる
暇,한가하다,か/ひま
価,가치,か/あたい
期,기간,き·ご
被,입다,ひ/こうむる
年,"년, 해",ねん/とし
嵐,폭풍,あらし
者,사람,しゃ/もの
感,느끼다,かん
並,나란히,へい/なみ·ならびに·ならぶ·ならべる
食,먹다,しょく·じき/ くう·たべる·くらう
頑,완고하다,がん
途,길,と
純,순수하다,じゅん
環,환경,かん
中,"안, 중간",じゅう·ちゅう/なか
友,친구,ゆう/とも
上,위,じょう·しょう/あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる
情,감정,じょう·せい/なさけ
暴,폭력적이다,ぼう·ばく/あばれる·あばく
着,입다,ちゃく·じゃく/きせる·きる·つく·つける
制,제어하다,せい
際,사이,さい/きわ
活,생활하다,かつ
読,읽다,とう·とく·どく/よむ
文,"글, 문장",ぶん·もん/ふみ
込,"담다, 포함하다",こむ·こめる
緊,긴급하다,きん
講,강의하다,こう
否,부정하다,ひ/いな
去,가다,きょ·こ/さる
入,들어가다,にゅう/いる·いれる·はいる
待,기다리다,たい/まつ
境,경계,きょう·けい/さかい
扱,다루다,あつかう
攻,공격하다,こう/せめる
鬱,우울하다,うつ
立,서다,りつ·りゅう/たつ·たてる
疑,의심하다,ぎ/うたがう
長,길다,ちょう/ながい
頃,무렵,ころ
好,좋아하다,こう/このむ·すく
訓,가르치다,くん
譲,양보하다,じょ う/ゆずる
病,병,びょう·へい/やまい·やむ
