T,D,P
女性,"[명사] 1.여성 2.여자 , 3.문법",じょせい,
摂取,"[명사, ス타동사] 1.섭취 2.받아들여 자기 것으로 함",せっしゅ,
大丈夫,"[ダナ] 1.괜찮음, 걱정 없음, 끄떡없음, 문제없음, 틀림없음 2.(부사적으로) 틀림없이, 확실히, 꼭",だいじょうぶ,
価格,"[명사] 가격, 값",かかく,
恋愛,"[명사, ス자동사] 연애",れんあい,
大学生,"[명사] 대학생, 대학교에 다니는 학생",だいがくせい,
財産,[명사] 1.재산 2.자산,ざいさん,
表現,"[명사, ス타동사] 표현",ひょうげん,
姿勢,"[명사] 1.자세 2.몸의 모양 3.사물을 대하는 마음가짐, 태도",しせい,
考慮,"[명사, ス타동사] 고려",こうりょ,
最初,"[명사] 최초, 맨 처음",さいしょ,
親切,"[명사, ダナ] 친절(함)",しんせつ,
動画,[명사] 1.동화 2.애니메이션,どうが,
事前,[명사] 사전,じぜん,
講師,[명사] 1.강사 2.(대학 등에서) 강의를 하는 사람,こうし,
想像,"[명사, ス타동사] 상상, 실제로 경험하지 않은 것을 미루어 짐작하는 것, 존재하지 않는 것을 마음에 떠올리는 것",そうぞう,
分野,[명사] 1.분야 2.영역 3.활동 범위,ぶんや,
病気,"[명사, ス자동사] 1.병 2.앓음, 질병 3.나쁜 버릇, 악습",びょうき,
実感,"[명사, ス타동사] 1.실감 2.실물에 접했을 때 받는 느낌 3.실제로 경험한 것과 같은 생생한 느낌",じっかん,
悪口,[명사] 욕,わるくち,
基準,[명사] 기준,きじゅん,
週間,[명사] 주간,しゅうかん,
雰囲気,[명사] 분위기,ふんいき,
格差,"[명사] 격차, 자격·등급·가격",かくさ,
無難,"[명사, ダナ] 1.무난(함) 2.흠잡을 만 한 것이 없음, 특별히 좋지도 않지만 나쁘지도 않음 3.무사함, 위험한 일이 없음",ぶなん,
兵士,"[명사] 병사, 사병",へいし,
翻訳,"[명사, ス타동사] 번역",ほんやく,
適応,"[명사, ス자동사] 적응",てきおう,
無意味,"[ダナ] 1.뜻이 없음 2.가치가 없음, 보람이 없음, 헛됨 / [명사] 무의미",むいみ,
地域,[명사] 지역,ちいき,
電気,[명사] 1.전기 2.속어 전등,でんき,
準備,"[명사, ス타동사] 준비",じゅんび,
相手,[명사] 1.상대 2.함께 무엇을 하는 사 람 3.(서로 겨루는) 적수,あいて,
後悔,"[명사, ス자동사·타동사] 후회, 뉘우침",こうかい,
発音,"[명사, ス타동사] 발음",はつおん,
写真,[명사] 1.사진,しゃしん,
過剰,"[명사ノナ] 과잉, 필요한 정도나 수 량보다 많음, 또, 그 상태",かじょう,
世界,"[명사] 1.세계 2.지구상의 모든 나라, 인류 사회 전체 3.어떤 분야나 특정 사회, 또, 그 영역",せかい,
漢字,[명사] 한자,かんじ,
日本人,"[명사] 일본인, 일본 사람",にほんじん,
不安定,[명사ノナ] 불안정,ふあんてい,
外見,"[명사] 1.외견, 외관, 겉보기 2.남에게 보이는[보여지는] 것",がいけん,
無礼,"[명사ノナ] 무례, 실례",ぶれい,
途中,[명사] 도중,とちゅう,
説明,"[명사, ス타동사] 설명",せつめい,
構成,"[명사, ス타동사] 구성(물)",こうせい,
宿題,[명사] 1.숙제 2.학생에게 내 주는 과제 3.앞으로 두고 해결해야 할 문제,しゅくだい,
高校生,[명사] 고교생,こうこうせい,
突然,"[부사] 돌연, 갑자기",とつぜん,
韓国語,[명사] 한국어,かんこくご,
関係,"[명사, ス자동사] 1.관계 2.서로 관 련이 있음, 또, 그런 관련 3.영향을 미침",かんけい,
確実,"[명사, ダナ] 확실(함)",かくじつ,
家族,[명사] 가족,かぞく,
危険,"[명사, ダナ] 위험",きけん,
手続,"[명사] 수속, 절차",てつづき,
予定,"[명사, ス타동사] 예정",よてい,
特異,[명사ノナ] 특이,とくい,
政情,"[명사] 정정, 정치 정세, 정계 내 막",せいじょう,
頑張,"[명사] 끝까지 버티는 것, 분발하는 것, 또, 그 힘, 인내력",がんばり,
