T,D,P,E
応,대답하다,おう/こたえる,心 (4획)
日,"해,날",じつ·にち/か·ひ,日 (4획)
悔,후회하다,かい/くいる·くやしい·くやむ,忄 (3획)
無,무(없다),ぶ·む/ない,灬 (4획)
訳,"(번)역 / 의미, 원인",やく/わけ,言 (7획)
現,현(실),げん/あらわす·あらわれる,王 (4획)
想,생각(상상),そう·そ/,心 (4획)
分,"(시간)분, 나누다",ぶ·ふん·ぶん/わかつ·わかる·わかれる·わける,刀 (2획)
感,감(각),かん/,心 (4획)
電,전(기),でん/,雨 (8획)
特,특(별),とく/,牛 (4획)
考,고(려하다),こう/かんがえる,耂 (4획)
然,자(연),ぜん·ねん/,灬 (4획)
性,성(별),せい·しょう/,忄 (3획)
産,(생)산,さん/うまれ る·うむ·うぶ,生 (5획)
悪,악(함),あく·お/わるい,心 (4획)
翻,변(경하다),ほん/ひるがえす·ひるがえる,羽 (6획)
途,도(로),と/,辶 (3획)
実,과(실을 맺다),じつ/み·みのる,宀 (3획)
士,사(무직),し/,士 (3획)
説,설(명),せつ·ぜい/とく,言 (7획)
差,차(이),さ/さす,工 (3획)
予,예(측),よ/,亅 (1획)
意,의(미),い/,心 (4획)
不,불(가능),ふ·ぶ/,一 (1획)
師,"교(사) (주로 스승, 선생, 지도자에 사용)",し/,巾 (3획)
愛,"사랑(""애""정)",あい/,心 (4획)
写,사(본) (베끼다),しゃ/うつす·うつる,冖 (2획)
国,국(가),こく/くに,口 (3획)
過,과(욕),か/すぎる·すごす·あやまち·あやまつ,辶 (3획)
域,"(지)역, (구역, 영역 등 어떠한 정도나 경지)",いき/,土 (3획)
学,학(습),がく/まなぶ,子 (3획)
取,취(득),しゅ/とる,又 (2획)
講,강(의),こう/,言 (7획)
前,전(진),ぜん/まえ,刂 (2획)
適,적(합),てき/,辶 (3획)
礼,예(의),れい·らい/,礻 (4획)
雰,분(위기),ふん/,雨 (8획)
備,(준)비(하다),び/そなえる·そなわる,亻 (2획)
画,화(가),が·かく/,田 (5획)
真,진(심),しん/ま,目 (5획)
口,입,く·こう/くち, 口 (3획)
発,발(송),はつ·ほつ/,癶 (5획)
初,(최)초,しょ/はじめ·はじめて·はつ·そめる·うい,刀 (2획)
動,동(작),どう/うごかす·うごく,力 (2획)
界,(나뉘는 경)계,かい/,田 (5획)
基,기(초),き/もと·もとい,土 (3획)
間,간(격),かん·けん/あいだ·ま,門 (8획)
族,(가)족,ぞく/,方 (4획)
険,(위)험(하다),けん/けわしい,阝左 (3획)
囲,(포)위(하다),い/かこう·かこむ,口 (3획)
成,성(공) / ~이 되다. 이루다.,せい· じょう/なす·なる,戈 (4획)
題,제(목),だい/,頁 (9획)
突,돌(격),とつ/つく,穴 (5획)
気,기(운),き·け/,气 (4획)
相,상(대),そう·しょう/あい,目 (5획)
像,(허)상,ぞう/,亻 (2획)
手,수(제),しゅ/て·た,手 (4획)
週,(일)주(일),しゅう/,辶 (3획)
政,정(치),せい·しょう/まつりごと,攵 (4획)
危,위(험하다),き/あぶない·あやうい·あやぶむ,卩 (2획)
音,음(성),おん·いん/おと·ね,音 (9획)
世,세(상),せ·せい/よ,一 (1획)
切,절(단하다),せつ·さい/きる·きれる,刀 (2획)
情,(감)정,じ ょう·せい/なさけ,忄 (3획)
高,고(급),こう/たか·たかい·たかまる·たかめる,高 (10획)
字,(글)자,じ/あざ,子 (3획)
慮,(우)려,りょ/,心 (4획)
剰,"잉(여, 남는것)",じょう/,刂 (2획)
外,외(출),がい·げ/そと·はずす·はずれる·ほか,夕 (3획)
価,가(치),か/あたい,亻 (2획)
格,격(식),かく·こう/,木 (4획)
表,표(면),ひょう/あらわす·あらわれる·おもて,衣 (6획)
野,야(외),や/の,里 (7획)
後,후(회),ご·こう/あと·うしろ·のち·おくれる,彳 (3획)
校,(학)교,こう/,木 (4획)
本,"책, 본(질)",ほん/もと,木 (4획)
病,병(명),びょう·へい/やまい·やむ,疒 (5획)
関,관(계),かん/かかわる·せき,門 (8획)
異,이(의),い/こと,田 (5획)
頑,완(고),がん/,頁 (9획)
見,견(해) / 보다. 보여주다.,けん/みえる· みせる·みる,見 (7획)
係,계(원),けい/かかり·かかる,亻 (2획)
事,사(실),じ·ず/こと,亅 (1획)
財,재(산),ざい·さい/,貝 (7획)
宿,숙(박하다),しゅく/やど·やどす·やどる,宀 (3획)
張,(주)장 / 뻗어나다,ちょう/はる,弓 (3획)
明,명(일),みょう·めい/あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく·あくる·あける,日 (4획)
準,준(비),じゅん/,氵 (3획)
勢,세(력),せい/いきおい,力 (2획)
摂,섭(취),せつ/, 扌 (3획)
語,(언)어,ご/かたらう·かたる,言 (7획)
漢,한(자),かん/,氵 (3획)
丈,(신)장,じょう/たけ,一 (1획)
最,"최(초, 최강)",さい/もっとも,日 (4획)
確,확(신),かく/たしか·たしかめる,石 (5획)
定,(결)정,じょう·てい/さだまる·さだめる·さだか,宀 (3획)
夫,부(부),ふ·ふう/おっと,大 (3획)
地,지(면),じ·ち/,土 (3획)
兵,병(사),へい·ひょう/,八 (2획)
