T,D,P
金,"금, 돈",きん·こん/かな·かね,金
風,바람,ふう·ふ/かざ·かぜ,風
田,"논, 밭",でん/た,田
阜,언덕,ふ/,阜
入,"들어가다, 입다",にゅう/いる·いれる·はいる,入
音,"소리, 음",おん·いん/おと·ね,音
酉,"닭띠, 서쪽",ゆう/とり·ひよみのとり,酉
斗,싸우다,と/,斗
弓,활,きゅう/ゆみ,弓
方,"방향, 방면",ほう/かた,方
又,"다음,또한",/また,又
比,비교하다,ひ/くらべる,比
矢,화살,し/や,失
皿,접시,/さら,皿
文,"문자, 문장",ぶん·もん/ふみ,文
面,"면, 얼굴",めん/おも·おもて·つら,面
辛,매운,しん/からい,辛
首,목,しゅ/くび,首
氏,"성, 씨",し/うじ,氏
臼,절구,きゅう/うす,臼
頁,머리,けつ·よう/かしら·ページ,頁
高,높은,こう/たか·たかい·たかまる·たかめる,高
馬,말,ば/うま·ま,馬
山,산,さん/やま,山
甘,달다,かん/あまい·あまえる·あまやかす,甘
工,"기술, 공업",く·こう/,工
用,"용도,용무",よう/もちいる,用
車,차,しゃ/くるま,車
飛,날다,ひ/とばす·とぶ,飛
足,발,そく/あし·たす·たりる·たる,足
刀,칼,とう/かたな,刀
長,길다(장),ちょう/ながい,長
欠,"부족함,결점",けつ/かく·かける,欠
皮,가죽,ひ/かわ,皮
肉,고기,にく/,肉
里,마을,り/さと,里
人,사람,じん·にん/ひと,人
鬼,귀신,き/おに,鬼
豆,콩,ず·とう/まめ,豆
乙,"을, 2위",おつ/,乙
寸,"길이,치수",すん/,寸
矛,창,む/ほこ,矛
